,amount,location
0,17835,300 WAVERLY AVE
1,10780,200 WALNUT PL
2,6880,100 MARSHALL ST
3,6845,700 COMSTOCK AVE
4,5830,200 BANK ALLEY
5,5630,900 WALNUT AVE
6,5500,300 MONTGOMERY ST
7,5430,900 MADISON ST
8,5200,300 WALNUT PL
9,4770,300 SALINA ST S
10,4705,300 WARREN ST S
11,4640,100 COMSTOCK AVE
12,4510,1000 MADISON ST
13,3990,100 DELL ST
14,3985,1000 EILEEN COLLINS BLVD
15,3970,700 LIVINGSTON AVE
16,3740,800 ACKERMAN AVE
17,3720,300 WASHINGTON ST E
18,3710,200 WALTON ST
19,3420,700 WALNUT AVE
20,3195,200 WASHINGTON ST W
21,3055,600 STATE ST S
22,3025,700 IRVING AVE
23,3015,400 MARSHALL ST
24,2940,400 WARREN ST S
25,2900,600 WALNUT AVE
26,2900,200 JEFFERSON ST W
27,2870,900 FAYETTE ST E
28,2855,500 WALNUT AVE
29,2810,200 COMSTOCK AVE
30,2810,800 WALNUT AVE
31,2785,800 LANCASTER AVE
32,2735,100 WALNUT PL
33,2735,700 CROUSE AVE S
34,2710,400 MONTGOMERY ST
35,2700,200 JEFFERSON ST E
36,2685,300 ONONDAGA ST E
37,2495,300 FORMAN AVE
38,2480,200 MARSHALL ST
39,2395,100 REMINGTON AVE
40,2335,900 ACKERMAN AVE
41,2330,1400 SALT SPRINGS RD
42,2325,800 SUMNER AVE
43,2325,200 PROSPECT AVE
44,2270,800 LIVINGSTON AVE
45,2210,200 EUCLID AVE
46,2035,700 STATE ST S
47,2020,400 SALINA ST S
48,1980,1000 MCBRIDE ST S
49,1975,200 WARREN ST S
50,1960,200 DORCHESTER AVE
51,1900,400 LAUREL ST E
52,1875,700 LANCASTER AVE
53,1865,700 FAYETTE ST E
54,1855,800 MARYLAND AVE
55,1815,100 REDFIELD PL
56,1790,200 MADISON ST
57,1750,200 WATER ST E
58,1720,900 LANCASTER AVE
59,1710,400 GENESEE ST E
60,1700,400 BOYDEN ST
61,1700,300 JEFFERSON ST W
62,1685,500 MONTGOMERY ST
63,1680,200 GENESEE ST W
64,1670,100 ASHWORTH PL
65,1645,100 WAYNE ST
66,1640,700 SUMNER AVE
67,1635,1100 MADISON ST
68,1605,100 WASHINGTON ST E
69,1600,300 GREEN ST
70,1595,200 SALINA ST S
71,1575,700 MARYLAND AVE
72,1555,700 EUCLID AVE
73,1525,600 WILLIS AVE
74,1500,100 JEFFERSON ST E
75,1490,900 MCBRIDE ST S
76,1465,400 PROSPECT AVE
77,1465,300 TENNYSON AVE
78,1465,800 CROUSE AVE S
79,1450,600 CROUSE AVE S
80,1450,100 MADISON ST
81,1435,100 WARREN ST S
82,1430,100 WALTON ST
83,1420,400 ULSTER ST
84,1405,200 ASH ST
85,1385,100 CLARENDON ST
86,1385,300 EUCLID AVE
87,1385,401 MONTGOMERY ST
88,1370,100 BANK ALLEY
89,1350,700 TOWNSEND ST N
90,1335,200 FAYETTE ST W
91,1325,300 TURTLE ST
92,1310,100 OSTROM AVE
93,1285,800 MADISON ST
94,1280,300 OTISCO ST
95,1275,500 CLINTON ST S
96,1275,600 PARK AVE
97,1275,100 JUDSON ST
98,1265,100 BURNET AVE
99,1250,100 JEFFERSON ST W
100,1250,100 CLIFTON PL
101,1245,600 TOWNSEND ST N
102,1245,300 WHITTIER AVE
103,1240,700 ACKERMAN AVE
104,1220,500 WARREN ST S
105,1210,100 FORDHAM RD
106,1205,200 TENNYSON AVE
107,1200,100 THORNDON PARK
108,1200,400 CROUSE AVE S
109,1190,300 CLINTON ST S
110,1180,200 WOODBINE AVE
111,1180,1200 MADISON ST
112,1135,100 BELLE AVE
113,1135,200 HAWLEY AVE
114,1115,100 JOHN ST
115,1100,800 UNIVERSITY AVE
116,1095,300 FRANKLIN ST S
117,1095,200 WHITTIER AVE
118,1095,100 GREEN ST
119,1090,200 GENESEE PK DR
120,1085,200 LEXINGTON AVE
121,1085, CITY LOT 21
122,1080,100 OLIVE ST
123,1080,100 ELDORADO ST
124,1070,900 HARRISON ST
125,1060,100 WOODBINE AVE
126,1050,511 STATE ST S
127,1045,100 BRYANT AVE
128,1045,200 CLINTON ST N
129,1040,100 HERBST AVE
130,1035,300 FAYETTE ST W
131,1035,300 WASHINGTON ST W
132,1000,300 ROOSEVELT AVE
133,1000,500 COMSTOCK AVE
134,1000,100 COMSTOCK PL
